"","1","2","3","4","5","6","7"
"2",0.0822510822510822,0.314574314574315,0.183261183261183,0.0923520923520924,0.0923520923520924,0.0822510822510822,0.152958152958153
"3",0.127551020408163,0.145408163265306,0.163265306122449,0.127551020408163,0.145408163265306,0.163265306122449,0.127551020408163
"4",0.123152709359606,0.140394088669951,0.157635467980296,0.140394088669951,0.123152709359606,0.123152709359606,0.192118226600985
"6",0.198979591836735,0.127551020408163,0.145408163265306,0.127551020408163,0.127551020408163,0.127551020408163,0.145408163265306
"7",0.140056022408964,0.140056022408964,0.159663865546218,0.140056022408964,0.140056022408964,0.140056022408964,0.140056022408964
"8",0.144427001569859,0.15541601255887,0.15541601255887,0.133437990580848,0.133437990580848,0.199372056514914,0.0784929356357928
"9",0.128772635814889,0.128772635814889,0.156941649899396,0.114688128772636,0.128772635814889,0.156941649899396,0.185110663983903
"10",0.103074141048825,0.103074141048825,0.191681735985533,0.115732368896926,0.166365280289331,0.216998191681736,0.103074141048825
"11",0.144557823129252,0.13265306122449,0.144557823129252,0.168367346938776,0.120748299319728,0.192176870748299,0.0969387755102041
"12",0.152380952380952,0.119047619047619,0.152380952380952,0.135714285714286,0.119047619047619,0.152380952380952,0.169047619047619
"13",0.166365280289331,0.115732368896926,0.0904159132007233,0.128390596745027,0.229656419529837,0.115732368896926,0.15370705244123
"14",0.156593406593407,0.137362637362637,0.137362637362637,0.137362637362637,0.137362637362637,0.137362637362637,0.156593406593407
"15",0.123376623376623,0.108225108225108,0.214285714285714,0.138528138528139,0.123376623376623,0.138528138528139,0.153679653679654
"16",0.0978473581213307,0.166340508806262,0.0978473581213307,0.152641878669276,0.180039138943249,0.193737769080235,0.111545988258317
"17",0.131336405529954,0.147465437788018,0.115207373271889,0.163594470046083,0.131336405529954,0.163594470046083,0.147465437788018
"18",0.129251700680272,0.129251700680272,0.208616780045351,0.113378684807256,0.160997732426304,0.113378684807256,0.145124716553288
"19",0.129251700680272,0.145124716553288,0.224489795918367,0.129251700680272,0.113378684807256,0.129251700680272,0.129251700680272
"20",0.10351966873706,0.19047619047619,0.10351966873706,0.10351966873706,0.118012422360248,0.219461697722567,0.161490683229814
"21",0.147465437788018,0.147465437788018,0.147465437788018,0.115207373271889,0.147465437788018,0.163594470046083,0.131336405529954
"22",0.230612244897959,0.116326530612245,0.130612244897959,0.116326530612245,0.116326530612245,0.116326530612245,0.173469387755102
